SCHOOL_YEAR,STATE_NAME,LEAID,LEA_NAME,DATA_GROUP_ID,DENOMINATOR,NUMERATOR,TEXT_VALUE,NUMERIC_VALUE,SUBGROUP
2022-2023,ALABAMA,0100213,Alabama Aerospace and Aviation,814PCT,79,6,7.6%,7.6,ALLLEA
2022-2023,ALABAMA,0100240,Autauga County,814PCT,9027,2567,28.4%,28.4,ALLLEA
2022-2023,ALABAMA,0100270,Baldwin County,814PCT,30762,6310,20.5%,20.5,ALLLEA
2022-2023,ALABAMA,0100300,Barbour County,814PCT,683,86,12.6%,12.6,ALLLEA
2022-2023,ALABAMA,0100330,Bessemer City,814PCT,3121,1274,40.8%,40.8,ALLLEA
2022-2023,ALABAMA,0100360,Bibb County,814PCT,2984,824,27.6%,27.6,ALLLEA
2022-2023,ALABAMA,0100390,Birmingham City,814PCT,20257,6374,31.5%,31.5,ALLLEA
2022-2023,ALABAMA,0100420,Blount County,814PCT,7596,784,10.3%,10.3,ALLLEA
2022-2023,ALABAMA,0100450,Brewton City,814PCT,1180,240,20.3%,20.3,ALLLEA
2022-2023,ALABAMA,0100480,Bullock County,814PCT,1353,288,21.3%,21.3,ALLLEA
2022-2023,ALABAMA,0100510,Butler County,814PCT,2753,1089,39.6%,39.6,ALLLEA
2022-2023,ALABAMA,0100540,Calhoun County,814PCT,7791,1680,21.6%,21.6,ALLLEA
2022-2023,ALABAMA,0100600,Chambers County,814PCT,3003,591,19.7%,19.7,ALLLEA
2022-2023,ALABAMA,0100630,Cherokee County,814PCT,3738,862,23.1%,23.1,ALLLEA
2022-2023,ALABAMA,0100660,Chilton County,814PCT,7561,1600,21.2%,21.2,ALLLEA
2022-2023,ALABAMA,0100690,Choctaw County,814PCT,1040,252,24.2%,24.2,ALLLEA
2022-2023,ALABAMA,0100720,Clarke County,814PCT,2122,372,17.5%,17.5,ALLLEA
2022-2023,ALABAMA,0100750,Clay County,814PCT,1769,399,22.6%,22.6,ALLLEA
2022-2023,ALABAMA,0100780,Cleburne County,814PCT,2404,572,23.8%,23.8,ALLLEA
2022-2023,ALABAMA,0100810,Coffee County,814PCT,2727,588,21.6%,21.6,ALLLEA
2022-2023,ALABAMA,0100840,Colbert County,814PCT,2487,661,26.6%,26.6,ALLLEA
2022-2023,ALABAMA,0100870,Conecuh County,814PCT,1406,287,20.4%,20.4,ALLLEA
2022-2023,ALABAMA,0100900,Coosa County,814PCT,805,203,25.2%,25.2,ALLLEA
2022-2023,ALABAMA,0100930,Covington County,814PCT,2873,507,17.6%,17.6,ALLLEA
2022-2023,ALABAMA,0100960,Crenshaw County,814PCT,2154,572,26.6%,26.6,ALLLEA
2022-2023,ALABAMA,0100990,Cullman City,814PCT,3211,370,11.5%,11.5,ALLLEA
2022-2023,ALABAMA,0101020,Cullman County,814PCT,9572,1647,17.2%,17.2,ALLLEA
2022-2023,ALABAMA,0101050,Dale County,814PCT,3200,838,26.2%,26.2,ALLLEA
2022-2023,ALABAMA,0101080,Daleville City,814PCT,1114,427,38.3%,38.3,ALLLEA
2022-2023,ALABAMA,0101110,Dallas County,814PCT,2409,938,38.9%,38.9,ALLLEA
2022-2023,ALABAMA,0101140,DeKalb County,814PCT,8466,1987,23.5%,23.5,ALLLEA
2022-2023,ALABAMA,0101170,Decatur City,814PCT,8434,1351,16.0%,16,ALLLEA
2022-2023,ALABAMA,0101200,Demopolis City,814PCT,1977,466,23.6%,23.6,ALLLEA
2022-2023,ALABAMA,0101230,Dothan City,814PCT,7853,2570,32.7%,32.7,ALLLEA
2022-2023,ALABAMA,0101260,Elba City,814PCT,646,149,23.1%,23.1,ALLLEA
2022-2023,ALABAMA,0101290,Elmore County,814PCT,11491,2478,21.6%,21.6,ALLLEA
2022-2023,ALABAMA,0101320,Enterprise City,814PCT,6514,1011,15.5%,15.5,ALLLEA
2022-2023,ALABAMA,0101350,Escambia County,814PCT,4054,1094,27.0%,27,ALLLEA
2022-2023,ALABAMA,0101380,Etowah County,814PCT,8419,2411,28.6%,28.6,ALLLEA
2022-2023,ALABAMA,0101410,Eufaula City,814PCT,6168,929,15.1%,15.1,ALLLEA
2022-2023,ALABAMA,0101440,Fairfield City,814PCT,1410,478,33.9%,33.9,ALLLEA
2022-2023,ALABAMA,0101470,Fayette County,814PCT,2096,445,21.2%,21.2,ALLLEA
2022-2023,ALABAMA,0101530,Florence City,814PCT,4471,1346,30.1%,30.1,ALLLEA
2022-2023,ALABAMA,0101560,Fort Payne City,814PCT,3374,539,16.0%,16,ALLLEA
2022-2023,ALABAMA,0101590,Franklin County,814PCT,3524,705,20.0%,20,ALLLEA
2022-2023,ALABAMA,0101620,Gadsden City,814PCT,4788,1360,28.4%,28.4,ALLLEA
2022-2023,ALABAMA,0101640,Geneva City,814PCT,1227,180,14.7%,14.7,ALLLEA
2022-2023,ALABAMA,0101660,Geneva County,814PCT,2672,410,15.3%,15.3,ALLLEA
2022-2023,ALABAMA,0101680,Greene County,814PCT,866,148,17.1%,17.1,ALLLEA
